id,Gender,Age,HasDrivingLicense,RegionID,Switch,VehicleAge,PastAccident,AnnualPremium,SalesChannelID,DaysSinceCreated,Result
148325,Female,26.0,1.0,40.0,1.0,< 1 Year,Yes,"£1,416.50 ",152,200,0
198769,Male,22.0,1.0,12.0,1.0,< 1 Year,,"£1,534.05 ",152,189,0
331623,Female,41.0,1.0,28.0,,1-2 Year,,"£1,680.85 ",124,139,0
171998,,25.0,1.0,10.0,1.0,< 1 Year,No,"£1,222.05 ",152,193,0
92332,Male,58.0,1.0,28.0,,> 2 Years,,"£2,109.00 ",124,162,0
39789,Female,57.0,1.0,8.0,,1-2 Year,Yes,"£1,444.40 ",26,286,1
110341,Female,31.0,1.0,46.0,1.0,< 1 Year,,"£1,205.05 ",160,116,0
299812,Male,44.0,1.0,28.0,,1-2 Year,,"£1,670.50 ",122,65,1
234494,Female,,1.0,28.0,,1-2 Year,Yes,"£1,368.35 ",124,104,0
342066,Male,29.0,1.0,7.0,0.0,1-2 Year,,£131.50 ,156,295,0
22397,Male,72.0,1.0,28.0,,> 2 Years,Yes,"£3,430.15 ",26,129,0
66710,Female,39.0,1.0,39.0,0.0,1-2 Year,Yes,"£1,775.75 ",26,138,1
350742,Male,46.0,,28.0,,1-2 Year,Yes,"£1,830.15 ",124,237,0
211995,Female,21.0,,7.0,0.0,< 1 Year,Yes,"£1,884.55 ",160,135,0
39235,Male,24.0,1.0,17.0,1.0,< 1 Year,,"£2,359.20 ",152,251,0
200625,Male,24.0,1.0,8.0,,< 1 Year,,"£2,444.30 ",152,167,0
357893,Female,23.0,1.0,11.0,0.0,< 1 Year,,£131.50 ,160,68,0
121637,Male,35.0,,43.0,0.0,1-2 Year,,£131.50 ,160,222,0
360009,Male,45.0,1.0,8.0,,1-2 Year,,£131.50 ,156,133,1
102271,Female,39.0,1.0,15.0,,1-2 Year,No,£131.50 ,14,293,0
231821,Female,39.0,1.0,28.0,0.0,1-2 Year,Yes,"£1,448.50 ",151,39,0
275438,Male,23.0,1.0,3.0,,< 1 Year,No,"£1,103.25 ",152,153,0
34401,Male,41.0,1.0,8.0,,1-2 Year,No,"£1,513.45 ",26,244,0
254778,Female,55.0,1.0,46.0,0.0,1-2 Year,,"£1,013.15 ",30,254,0
352925,Male,70.0,1.0,46.0,1.0,1-2 Year,,"£1,435.15 ",156,181,0
254131,Female,24.0,1.0,8.0,,< 1 Year,,"£2,564.35 ",152,263,0
12652,Male,63.0,1.0,28.0,,,,"£1,310.20 ",26,56,0
331069,Female,20.0,1.0,47.0,,< 1 Year,,"£1,622.60 ",160,191,0
357840,Female,33.0,1.0,11.0,1.0,,No,"£1,617.70 ",152,191,0
48377,Male,52.0,1.0,11.0,,,,"£1,612.40 ",152,169,0
188533,Female,21.0,1.0,8.0,1.0,< 1 Year,No,"£2,415.10 ",152,194,0
172309,Male,,1.0,27.0,,1-2 Year,No,"£1,210.00 ",26,120,0
256239,Female,32.0,1.0,31.0,0.0,1-2 Year,Yes,£131.50 ,150,270,0
212610,Female,43.0,,8.0,,1-2 Year,Yes,£131.50 ,156,46,0
81354,Female,23.0,1.0,,1.0,< 1 Year,No,"£2,071.15 ",26,28,0
229418,Male,66.0,1.0,18.0,0.0,,Yes,"£1,558.75 ",26,163,0
167041,Male,,1.0,,,< 1 Year,,"£2,431.60 ",152,199,0
293610,Male,44.0,1.0,50.0,0.0,1-2 Year,Yes,"£1,749.00 ",8,212,1
